player_id,player_first_name,player_last_name,player_short_first_name,player_short_last_name,player_match_name,player_nationality,player_position,player_place_of_birth,player_known_name,last_updated
625,Hope,Breslin,Hope,Breslin,H. Breslin,USA,Midfielder,NA,NA,9/3/23
626,Maia Early,Pérez,Maia,Pérez,M. Pérez,USA,Goalkeeper,Kentwood,NA,4/4/24
627,Sarah Elaine,Griffith,Sarah,Griffith,S. Griffith,USA,Attacker,Naperville,NA,4/4/24
628,Brianna,Alger,Brianna,Alger,B. Alger,USA,Defender,NA,NA,2/6/23
629,Chelsie,Dawber,Chelsie,Dawber,C. Dawber,Australia,Attacker,NA,NA,2/6/23
630,Samantha,Fisher,Samantha,Fisher,S. Fisher,USA,Midfielder,NA,NA,9/3/23
631,Amanda,Kowalski,Amanda,Kowalski,A. Kowalski,USA,Defender,NA,NA,9/3/23
632,Mikenna,McManus,Mikenna,McManus,M. McManus,USA,Defender,NA,NA,2/6/23
633,Ava,Cook,Ava,Cook,Ava Cook,USA,Attacker,Battle Creek,Ava Cook,4/4/24
634,Channing,Foster,Channing,Foster,C. Foster,USA,Midfielder,NA,NA,2/6/23
635,Jillienne,Aguilera,Jill,Aguilera,J. Aguilera,Puerto Rico,Midfielder,NA,NA,9/3/23
636,Ryan,Gareis,Ryan,Gareis,R. Gareis,USA,Attacker,NA,NA,4/4/24
637,Paulina,Gramaglia,Paulina,Gramaglia,P. Gramaglia,Argentina,Attacker,NA,NA,3/23/23
638,Joelle,Anderson,Joelle,Anderson,J. Anderson,USA,Midfielder,California,NA,4/4/24
639,Annika,Schmidt,Annika,Schmidt,A. Schmidt,Germany,Defender,NA,Annika Schmidt,3/23/23
640,Alexis Alycia,Loera,Alex,Loera,A. Loera,USA,Midfielder,Thornton,NA,4/4/24
641,Isabel Denise,Rodriguez,Izzy,Rodriguez,I. Rodriguez,USA,Defender,"Canton, MI",NA,4/4/24
642,Chardonnay,Curran,Chardonnay,Curran,C. Curran,USA,Midfielder,Ewa Beach,NA,4/4/24
643,Jenna Rae,Winebrenner,Jenna,Winebrenner,J. Winebrenner,USA,Defender,NA,NA,4/4/24
644,Elyse,Morgan Bennett,Elyse,Bennett,E. Bennett,USA,Attacker,Lake Forest,NA,4/4/24
645,Elisabeth Charlotte,Jean,Ellie,Jean,E. Jean,USA,Defender,Chattanooga,NA,4/4/24
646,Cameron,Tucker,Cameron,Tucker,C. Tucker,USA,Attacker,Highland,NA,4/4/24
647,Hensley,Hancuff,Hensley,Hancuff,H. Hancuff,USA,Goalkeeper,Edmond,NA,4/4/24
648,Taryn Layne,Torres,Taryn,Torres,T. Torres,USA,Midfielder,NA,NA,4/4/24
649,Kelly Ann,Livingstone,Kelly Ann,Livingstone,K. Livingstone,USA,Defender,NA,NA,9/3/23
650,Kerolin Nicoli,Israel Ferraz,Kerolin Nicoli,Israel Ferraz,Kerolin,Brazil,Attacker,São Paulo,Kerolin,4/4/24
651,Emily Rose,Gray,Emily,Gray,E. Gray,USA,Midfielder,Sewell,NA,4/4/24
652,Kaitlin,Fregulia,Kaitlin,Fregulia,K. Fregulia,USA,Defender,Torrance,NA,2/6/23
653,Haleigh Kae,Stackpole,Haleigh,Stackpole,H. Stackpole,USA,Midfielder,Bowling Green,NA,9/3/23
654,Valérie Marie Christelle,Gauvin,Valérie,Gauvin,V. Gauvin,France,Attacker,Sainte-Clotilde,NA,2/6/23
655,Francesca Claire,Tagliaferri,Frankie,Tagliaferri,F. Tagliaferri,USA,Midfielder,Colts Neck,NA,4/4/24
656,Diana Rosario,Ordóñez Torres,Diana,Ordóñez,D. Ordoñez,Mexico,Attacker,Prosper,NA,4/4/24
657,Theresa Stephanie,Boade,Tess,Boade,T. Boade,USA,Attacker,Highlands Ranch,NA,4/4/24
658,Malia Nicole,Berkely,Malia,Berkely,M. Berkely,USA,Defender,Liberty Township,NA,4/4/24
659,Marisa,Bova,Marisa,Bova,M. Bova,USA,Goalkeeper,Hartland,NA,4/4/24
660,Claudia Jane,Dickey,Claudia,Dickey,C. Dickey,USA,Goalkeeper,Charlotte,NA,4/4/24
661,Ryanne Alyse,Brown,Ryanne,Brown,R. Brown,USA,Defender,Indianapolis,NA,4/4/24
662,Laurel Carolyn,Ivory,Laurel,Ivory,L. Ivory,USA,Goalkeeper,Surfside,NA,4/4/24
663,Alyssa,Malonson,Alyssa,Malonson,A. Malonson,USA,Defender,Primavera,NA,4/4/24
664,Zsanett Bernadett,Kaján,Zsanett,Kaján,Z. Kaján,Hungary,Attacker,NA,NA,2/6/23
665,Olivia,Van der Jagt,Olivia,Van der Jagt,O. Van der Jagt,USA,Midfielder,Kent,NA,4/4/24
666,Marley Angelina,Canales,Marley,Canales,M. Canales,USA,Midfielder,NA,NA,9/3/23
667,Olivia Marie,Athens,Olivia,Athens,O. Athens,USA,Midfielder,Atherton,NA,4/4/24
668,Julie Kate,Doyle,Julie,Doyle,J. Doyle,USA,Midfielder,Newport Beach,NA,4/4/24
669,Caitlin,Cosme,Caitlin,Cosme,C. Cosme,USA,Defender,NA,NA,9/3/23
670,Viviana Venezia,Villacorta,Viviana,Villacorta,V. Villacorta,USA,Midfielder,Torrance,NA,4/4/24
671,Anna Victoria,Moorhouse,Anna,Moorhouse,A. Moorhouse,England,Goalkeeper,Oldham,NA,4/4/24
672,Mikayla Shae,Cluff,Mikayla,Cluff,M. Cluff,USA,Midfielder,Kaysville,NA,4/4/24
673,Kerry Margaret,Abello,Kerry,Abello,K. Abello,USA,Defender,Elmhurst,NA,4/4/24
674,Hina,Sugita,Hina,Sugita,H. Sugita,Japan,Midfielder,Kitakyushu,NA,4/4/24
