player_id,team_id,season,corners_into_box_successful,games_played,short_passes_successful,shots_off_target,passes_opposition_half_unsuccessful,corners_into_box_unsuccessful,clean_sheets,crossses_corners_unsuccessful,goals_conceded_outside_box,through_balls,duels_aerial,duels_ground,open_play_crosses_unsuccessful,goals_conceded,successful_passes_total,recoveries,handballs_conceded,tackled,duels,appearances,tackles_lost,duels_won,passes_unsuccessful,passes_rightside,overruns,short_passes_unsuccessful,passes_backwards,passes_open_play,key_passes,shots_on_target,open_play_passes_successful,crosses_corners_successful,lay_offs_successful,passes_own_half_unsuccessful,launches_successful,tackles_won,goals_inside_box,minutes,starts,long_passess_successful,sub_on,loss_of_possession_total,goals_conceded_inside_box,goals_right_foot,duels_lost,lay_offs_unsuccessful,shots_total,total_fouls_won,fouls_conceded_total,tackles_total,passes_forward,yellow_cards,touches_total_opposition_box,goals_left_foot,passes_own_half_successful,passes_total,passess_leftside,dribbles_unsuccessful,crosses_open_play_successful,corners_won,interceptions,dribbles_successful,aerial_duels_lost,assists,duels_ground_lost,passess_opp_half_successful,goals,long_passes_unsuccessful,clearances_total,goals_outside_box,touches,ground_duels_won,corners_taken,assists_intentional,sub_off,foul_attempted_tackle,launches_unsuccessful,shots_blocked,aerial_duels_won,goals_home,goals_away,goals_win,woodwork_hit,goal_line_clearances,goals_conceded_penalty,offsides,throw_ins_to_own_player,blocks,penalties_conceded,attempts_from_set_pieces,goals_other,goals_head,own_goals,throw_ins_to_opposition_player,penalties_won,assists_second,gk_distribution_successful,goalkicks_total,penalty_goals,penalties_taken,penalties_saved,saves_made_inside_box,gk_smother,saves_made,catches,punches,saves_made_caught,penalties_faced,saves_made_outside_box,saves_penalty,saves_made_parried,gk_distribution_unsuccessful,drops,last_updated.x,last_player_tackle,red_cards_total,red_cards_straight,goals_set_piece,crosses_not_claimed,red_cards_2nd_yellow,penalties_off_target,player_first_name,player_last_name,player_short_first_name,player_short_last_name,player_match_name,player_nationality,player_position,player_place_of_birth,player_known_name,last_updated.y,team_id.y,team_name,team_name_short,team_club_name,team_abbreviation,first_season,last_season,last_updated
605,5,2024,19,27,595,17,228,17,4,53,3,2,39,267,34,19,625,154,1,112,306,27,12,116,219,148,6,195,201,821,48,20,605,32,17,44,1,37,3,2126,25,30,2,472,16,4,190,3,37,28,33,49,226,2,132,1,180,844,269,44,10,21,14,30,30,6,160,477,5,24,12,2,1451,107,51,6,9,24,7,16,9,3,2,2,2,0,3,2,15,3,0,0,NA,0,0,2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,2025-03-12,0,1,NA,NA,NA,1,NA,Yazmeen Ann,Ryan,Yazmeen,Ryan,Y. Ryan,USA,Midfielder,NA,NA,2024-04-04,bgkfdckqfqnfbmecbtz03n76d,NJ/NY Gotham FC,NJ/NY Gotham FC,Gotham FC,NJY,2016,2022,1/1/23
717,5,2024,0,22,249,4,63,1,1,16,1,0,10,99,12,9,263,41,1,27,109,22,8,38,72,25,4,50,64,328,8,1,258,6,1,25,4,10,0,898,8,14,14,155,8,0,71,1,5,12,22,18,160,3,8,0,126,335,86,18,5,3,12,7,9,2,62,143,0,22,6,0,593,37,1,2,5,13,15,2,1,0,0,0,0,0,1,0,76,2,0,0,NA,0,0,29,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,2025-03-12,1,1,NA,NA,NA,1,NA,Bruna,Santos Nhaia,Bruna,Santos Nhaia,Bruninha,Brazil,Defender,Castro,Bruninha,2024-04-04,bgkfdckqfqnfbmecbtz03n76d,NJ/NY Gotham FC,NJ/NY Gotham FC,Gotham FC,NJY,2016,2022,1/1/23
594,5,2024,0,28,738,10,182,0,6,23,3,5,23,195,23,18,765,135,0,66,218,28,14,93,218,272,4,173,197,972,30,8,754,4,3,59,0,20,2,2188,26,27,2,382,15,1,125,0,18,18,33,34,327,4,70,1,295,983,187,22,4,11,15,28,9,1,116,474,2,45,11,0,1377,79,0,1,11,14,14,14,14,0,2,2,1,0,2,2,3,3,0,0,NA,0,0,1,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,2025-03-12,0,0,NA,NA,NA,0,NA,Delanie Breann,Sheehan,Delanie,Sheehan,D. Sheehan,USA,Midfielder,NA,NA,2024-04-04,bgkfdckqfqnfbmecbtz03n76d,NJ/NY Gotham FC,NJ/NY Gotham FC,Gotham FC,NJY,2016,2022,1/1/23
190,5,2024,0,27,1286,4,92,0,8,3,3,1,45,87,3,21,1334,205,1,11,132,27,8,70,147,247,0,91,176,1435,10,1,1292,0,0,58,11,16,0,2368,27,48,0,180,18,0,62,1,5,18,20,24,462,5,19,0,967,1481,596,4,0,1,20,8,25,1,37,367,0,56,56,0,1698,50,0,1,4,9,33,3,20,0,0,0,0,1,2,0,5,8,0,0,NA,0,0,2,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,2025-03-12,1,0,NA,NA,NA,0,NA,Emily Ann,Sonnett,Emily,Sonnett,E. Sonnett,USA,Defender,Marietta,NA,2024-04-04,bgkfdckqfqnfbmecbtz03n76d,NJ/NY Gotham FC,NJ/NY Gotham FC,Gotham FC,NJY,2016,2022,1/1/23
234,5,2024,0,15,180,11,68,0,0,9,2,1,51,103,9,9,184,40,0,49,154,15,3,66,71,70,4,63,58,246,9,15,176,2,5,12,0,14,0,829,8,4,7,164,7,0,88,1,26,5,8,17,75,2,65,0,51,255,52,16,2,9,6,14,21,1,67,135,0,8,4,0,477,36,0,0,5,1,4,5,30,0,0,0,1,0,2,6,7,0,0,0,NA,0,0,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,NA,0,0,0,2025-03-12,0,0,NA,NA,NA,0,NA,Katherine Nicole,Stengel,Katie,Stengel,K. Stengel,USA,Attacker,Melbourne,NA,2024-04-04,bgkfdckqfqnfbmecbtz03n76d,NJ/NY Gotham FC,NJ/NY Gotham FC,Gotham FC,NJY,2016,2022,1/1/23
462,5,2024,0,24,279,11,112,0,0,6,1,4,64,191,6,9,285,73,0,61,255,24,11,120,120,125,5,107,95,401,20,12,281,4,12,14,0,18,7,1325,17,6,7,251,8,3,135,6,23,26,32,29,114,1,111,2,81,405,71,36,4,6,5,34,31,4,104,208,7,13,6,0,744,87,0,4,16,16,7,5,33,3,4,3,2,0,2,4,2,1,0,0,NA,2,0,0,1,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,2025-03-12,0,0,NA,NA,NA,0,NA,Ella Hendley,Stevens,Ella,Stevens,E. Stevens,USA,Attacker,Snellville,NA,2024-04-04,bgkfdckqfqnfbmecbtz03n76d,NJ/NY Gotham FC,NJ/NY Gotham FC,Gotham FC,NJY,2016,2022,1/1/23
648,5,2024,0,12,46,1,19,2,0,4,0,0,3,28,2,2,50,15,0,7,31,12,6,15,21,23,1,12,12,69,1,0,48,0,0,6,2,5,0,159,1,4,11,41,2,0,16,0,1,3,3,11,28,1,2,0,29,71,8,2,0,0,3,1,3,0,13,21,0,9,2,0,136,15,2,0,1,2,5,0,0,0,0,0,0,0,0,0,9,1,0,0,NA,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,2025-03-12,0,0,NA,NA,NA,0,NA,Taryn Layne,Torres,Taryn,Torres,T. Torres,USA,Midfielder,NA,NA,2024-04-04,bgkfdckqfqnfbmecbtz03n76d,NJ/NY Gotham FC,NJ/NY Gotham FC,Gotham FC,NJY,2016,2022,1/1/23
255,5,2024,0,18,218,18,95,0,2,18,1,2,44,123,18,10,233,72,0,42,167,18,9,88,98,122,4,83,80,329,15,16,231,5,10,21,2,26,4,1057,11,15,7,212,9,3,79,0,34,5,15,35,89,1,81,0,72,331,40,16,5,16,8,15,11,3,68,166,4,15,13,0,629,55,0,3,7,9,10,9,33,2,2,3,1,0,1,4,10,1,0,0,NA,1,0,3,0,0,0,0,1,1,NA,0,0,0,0,0,0,0,0,NA,0,0,0,2025-03-12,0,0,NA,NA,NA,0,NA,Lynn Raenie,Williams,Lynn,Williams,L. Williams,USA,Attacker,Fresno,NA,2024-04-04,bgkfdckqfqnfbmecbtz03n76d,NJ/NY Gotham FC,NJ/NY Gotham FC,Gotham FC,NJY,2016,2022,1/1/23
22,5,2024,0,15,78,0,21,0,0,0,0,0,6,45,0,2,81,14,1,16,51,15,3,18,28,20,1,24,24,108,4,0,80,0,0,7,2,6,0,195,0,3,15,56,2,0,33,0,0,4,6,9,44,1,3,0,40,109,21,6,0,2,1,3,4,0,29,41,0,4,2,0,176,16,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,2,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,2025-03-12,0,0,NA,NA,NA,0,NA,McCall RaNae,Zerboni,McCall,Zerboni,M. Zerboni,USA,Midfielder,Camarillo,NA,2024-04-04,bgkfdckqfqnfbmecbtz03n76d,NJ/NY Gotham FC,NJ/NY Gotham FC,Gotham FC,NJY,2016,2022,1/1/23
673,7,2024,0,29,870,4,167,1,9,41,4,0,27,222,39,22,905,125,2,67,249,29,30,123,218,341,0,155,211,1100,16,5,883,7,2,92,10,34,1,2378,28,35,1,425,18,0,126,1,9,16,23,64,488,3,40,1,504,1123,83,27,7,14,26,27,11,2,115,408,1,63,65,0,1853,107,1,2,9,12,44,3,16,1,0,0,0,0,2,1,219,10,1,0,NA,0,0,46,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,2025-03-12,0,0,NA,NA,NA,0,NA,Kerry Margaret,Abello,Kerry,Abello,K. Abello,USA,Defender,Elmhurst,NA,2024-04-04,966pdxhsoxaib9qt5083h8uus,Orlando Pride,Orlando Pride,Orlando Pride,ORL,2016,2022,1/1/23
