player_id,team_id,season,loss_of_possession_total,passes_total,corners_into_box_unsuccessful,passes_open_play,shots_on_target,sub_off,long_passes_unsuccessful,through_balls,total_fouls_won,crosses_corners_successful,passess_leftside,crossses_corners_unsuccessful,touches,passes_forward,corners_taken,crosses_open_play_successful,throw_ins_to_opposition_player,fouls_conceded_total,passes_own_half_successful,launches_unsuccessful,long_passess_successful,ground_duels_won,duels_won,short_passes_successful,games_played,woodwork_hit,throw_ins_to_own_player,aerial_duels_won,tackle_last_man,tackles_last_man,clean_sheets,passess_opp_half_successful,touches_total_opposition_box,duels_ground_lost,starts,recoveries,shots_total,passes_opposition_half_unsuccessful,launches_successful,goals_conceded,sub_on,appearances,goals_conceded_outside_box,duels_lost,goals_conceded_inside_box,interceptions,successful_passes_total,aerial_duels_lost,clearances_total,passes_unsuccessful,tackles_total,passes_backwards,duels_aerial,corners_won,key_passes,passes_rightside,open_play_passes_successful,short_passes_unsuccessful,duels_ground,shots_off_target,passes_own_half_unsuccessful,minutes,duels,tackles_won,tackles_lost,goals_win,open_play_crosses_unsuccessful,yellow_cards,dribbles_successful,tackled,foul_attempted_tackle,assists_intentional,lay_offs_unsuccessful,assists,shots_blocked,offsides,assists_second,dribbles_unsuccessful,blocks,penalties_won,lay_offs_successful,saves_made_inside_box,saves_made_outside_box,gk_distribution_unsuccessful,saves_made,goalkicks_total,gk_distribution_successful,handballs_conceded,corners_into_box_successful,goals_right_foot,goals_outside_box,goals,goals_inside_box,attempts_from_set_pieces,goals_set_piece,goals_home,goals_away,goals_left_foot,penalties_taken,penalty_goals,goal_line_clearances,punches,saves_made_caught,gk_smother,catches,saves_made_parried,last_updated
543,5,2023,28,88,0,85,2,2,1,1,12,0,23,1,140,18,1,0,0,2,33,0,3,24,27,69,10,0,1,3,0,0,0,39,8,12,2,19,3,12,0,3,8,10,1,14,2,3,72,2,3,16,6,22,5,1,2,25,69,15,36,1,5,264,41,5,1,0,1,0,6,7,0,0,0,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2023-07-10
263,5,2023,67,87,2,81,10,2,3,0,3,3,26,9,197,18,7,2,0,5,18,3,3,26,28,62,6,0,0,2,0,0,0,50,40,32,3,19,13,28,0,4,3,6,1,37,3,0,65,5,1,22,6,22,7,9,11,21,59,19,58,3,3,343,65,3,3,1,6,2,17,24,2,1,0,2,3,1,0,13,2,0,2,0,0,0,0,0,0,0,1,2,0,2,2,0,0,0,2,0,2,2,0,0,0,0,0,0,2023-07-10
605,5,2023,238,391,11,383,4,7,9,2,28,8,89,27,736,113,19,3,0,13,96,3,9,78,93,280,15,0,8,15,0,0,3,201,64,81,13,89,22,96,0,13,2,15,1,107,12,8,289,26,7,102,21,103,41,8,16,86,281,93,159,18,33,1124,200,13,8,0,16,4,29,55,7,1,1,1,7,0,0,33,3,0,3,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
717,5,2023,168,394,0,389,2,5,18,0,7,4,110,16,670,195,0,4,26,9,145,10,12,44,51,282,11,0,85,7,0,0,0,153,6,38,11,44,3,81,2,13,0,11,1,45,12,17,294,7,26,100,22,62,14,2,13,27,289,82,82,1,35,919,96,18,4,0,15,2,15,16,3,0,0,0,0,0,0,9,3,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,2,1,0,0,1,0,0,0,0,0,2023-07-10
594,5,2023,132,237,0,231,3,7,7,2,5,2,50,8,391,60,0,2,0,8,81,1,3,26,29,183,11,0,2,3,0,0,1,107,30,51,8,46,6,48,0,8,3,11,0,63,8,0,186,12,0,51,12,69,15,5,14,58,180,44,77,3,11,653,92,9,3,0,8,0,9,35,2,1,1,1,1,1,0,15,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
208,5,2023,5,13,0,13,0,0,0,0,0,0,3,1,23,5,0,0,0,1,1,0,1,2,4,9,2,0,0,2,0,0,0,9,2,1,0,0,1,4,0,0,2,2,0,1,0,1,10,0,2,3,1,4,2,1,0,1,10,3,3,1,0,37,5,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
15,5,2023,163,456,0,284,0,0,151,0,3,0,105,0,585,280,0,0,0,0,232,54,123,3,11,175,14,0,0,8,0,0,4,66,0,2,14,136,0,106,28,13,0,14,1,2,12,0,298,0,17,158,0,0,8,1,0,71,204,7,5,0,52,1260,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,12,37,44,89,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,6,9,2023-07-10
249,5,2023,105,144,0,140,2,3,9,1,4,1,31,7,261,45,0,1,11,7,45,3,3,18,23,86,8,1,20,5,0,0,1,45,14,22,5,39,6,49,2,4,3,8,0,27,4,3,89,5,1,55,8,37,10,7,5,31,85,46,40,4,13,454,50,6,2,0,7,1,6,13,3,1,0,1,5,2,0,9,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2023-07-10
234,5,2023,16,37,0,36,1,1,0,0,0,0,9,0,51,12,0,0,0,2,8,0,0,2,6,27,1,1,0,4,0,0,0,19,8,7,1,11,1,9,0,1,0,1,0,12,1,0,27,5,0,10,1,11,9,1,2,5,26,10,9,0,1,89,18,1,0,1,0,0,1,5,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2023-07-10
255,5,2023,268,406,0,398,30,0,17,1,1,2,89,10,727,127,0,2,0,14,95,9,10,58,120,238,13,1,10,62,0,0,3,155,97,63,13,77,48,141,0,13,0,13,1,89,12,14,248,26,10,158,38,103,88,18,12,87,240,141,121,18,27,1170,209,23,15,4,10,1,19,43,10,0,1,0,15,2,0,18,1,0,11,0,0,0,0,0,0,1,0,6,1,7,6,0,0,2,5,1,1,1,0,0,0,0,0,0,2023-07-10
22,5,2023,78,218,2,216,1,4,5,1,8,0,58,6,323,79,2,0,0,10,64,3,12,33,36,153,15,0,0,3,0,0,0,101,13,24,4,49,4,42,3,5,11,15,0,34,5,10,165,10,4,53,16,38,13,1,7,43,163,48,57,3,17,454,70,11,5,0,2,1,9,9,7,0,0,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
