player_id,team_id,season,successful_passes_total,crosses_open_play_successful,duels_ground,duels_lost,crosses_corners_successful,aerial_duels_won,passes_backwards,goals,passes_forward,sub_off,shots_on_target,shots_off_target,dribbles_successful,passes_total,shots_total,tackles_total,passes_unsuccessful,goals_conceded,short_passes_unsuccessful,through_balls,tackles_lost,loss_of_possession_total,duels_won,recoveries,total_fouls_won,touches,open_play_passes_successful,passes_own_half_successful,throw_ins_to_opposition_player,sub_on,assists,goals_conceded_inside_box,fouls_conceded_total,foul_attempted_tackle,goals_conceded_penalty,shots_blocked,launches_unsuccessful,long_passess_successful,offsides,crossses_corners_unsuccessful,passess_leftside,tackles_won,appearances,assists_intentional,key_passes,corners_won,duels_ground_lost,passess_opp_half_successful,short_passes_successful,dribbles_unsuccessful,interceptions,ground_duels_won,passes_open_play,throw_ins_to_own_player,aerial_duels_lost,clearances_total,passes_opposition_half_unsuccessful,minutes,long_passes_unsuccessful,tackled,goals_inside_box,starts,duels,touches_total_opposition_box,games_played,open_play_crosses_unsuccessful,goals_conceded_outside_box,passes_own_half_unsuccessful,passes_rightside,goals_left_foot,duels_aerial,goals_home,goals_away,goals_win,lay_offs_successful,yellow_cards,launches_successful,clean_sheets,goals_right_foot,gk_distribution_unsuccessful,saves_made,catches,saves_made_caught,goalkicks_total,gk_distribution_successful,punches,saves_made_parried,saves_made_outside_box,penalties_faced,saves_made_inside_box,gk_smother,goal_line_clearances,blocks,corners_into_box_successful,corners_into_box_unsuccessful,corners_taken,red_cards_total,own_goals,red_cards_straight,penalties_won,penalties_taken,penalty_goals,lay_offs_unsuccessful,goals_head,handballs_conceded,woodwork_hit,penalties_conceded,attempts_from_set_pieces,last_updated
803,4,2023,13,0,0,0,0,0,4,0,6,0,0,0,0,17,0,0,4,1,3,0,0,4,0,1,0,19,13,10,0,3,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,3,12,0,1,0,17,0,0,1,3,29,1,0,0,0,0,0,3,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
36,4,2023,306,0,23,25,0,5,13,0,128,0,0,0,1,374,0,5,68,7,40,0,1,73,15,49,4,443,292,251,0,1,0,5,9,1,1,0,11,24,0,1,106,4,10,0,2,0,13,55,282,1,10,10,357,1,12,25,32,757,28,2,0,9,40,1,10,1,2,37,127,0,17,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2023-07-10
788,4,2023,30,0,28,23,0,0,15,0,11,1,1,2,2,42,3,7,12,2,9,0,4,35,10,13,1,92,30,13,2,3,0,2,5,2,0,1,2,4,0,2,7,3,4,0,1,1,18,17,26,5,0,10,42,1,5,0,9,139,3,11,0,1,33,2,4,2,0,5,9,0,5,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
656,4,2023,147,0,72,82,0,10,66,2,54,7,9,11,8,212,20,11,65,10,56,1,4,133,37,36,8,385,132,73,1,1,0,9,14,9,1,8,3,8,3,4,41,7,14,0,10,3,45,74,139,9,2,27,197,2,37,4,60,1092,9,25,2,13,119,43,14,4,1,9,51,0,47,0,2,2,8,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,2023-07-10
529,4,2023,124,3,31,20,3,5,30,0,112,3,0,2,0,205,2,12,81,3,60,1,6,116,19,26,2,334,116,71,5,4,0,3,6,4,0,0,6,7,2,12,12,6,10,0,4,1,17,56,117,1,3,14,196,51,3,7,62,475,21,6,0,6,39,0,10,11,0,31,51,0,8,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
405,4,2023,317,0,25,21,0,4,21,1,128,1,1,0,2,375,1,9,58,6,26,0,3,68,16,58,1,473,307,250,0,0,0,6,10,5,0,0,16,21,0,2,124,6,9,0,1,2,13,67,296,0,9,12,363,1,8,43,32,793,32,2,1,9,37,3,9,2,0,28,102,0,12,0,1,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023-07-10
609,4,2023,73,1,68,57,1,1,33,1,20,7,14,12,8,113,26,6,40,8,36,0,3,116,19,22,4,270,65,28,1,6,1,7,13,5,0,6,3,0,5,18,39,3,15,1,5,14,50,46,73,14,2,18,105,3,7,1,50,749,4,32,1,9,76,62,15,17,1,8,21,0,8,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,1,1,0,0,2023-07-10
403,4,2023,368,1,143,82,1,23,78,0,170,2,3,4,16,500,7,38,132,10,99,3,18,187,97,128,20,743,355,203,0,0,0,8,20,14,1,3,11,38,0,7,123,20,13,0,6,4,69,166,330,8,11,74,486,1,13,34,98,1098,33,23,0,13,179,18,13,7,2,41,129,0,36,0,0,0,5,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2023-07-10
145,4,2023,55,0,14,14,0,4,20,0,33,1,0,0,1,85,0,5,30,1,25,1,1,42,10,17,0,120,55,29,2,8,0,1,2,2,0,1,2,3,0,0,18,4,9,0,2,1,8,26,52,0,3,6,85,0,6,2,22,186,5,2,0,1,24,3,9,0,0,8,14,0,10,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
387,4,2023,198,6,84,58,11,8,69,3,136,9,9,6,14,322,15,5,124,12,96,5,4,280,44,73,17,622,196,88,3,1,2,10,4,2,1,2,11,6,0,71,34,1,15,1,12,14,48,121,192,24,6,36,318,16,10,10,166,1129,28,37,3,14,102,31,15,37,2,29,83,3,18,1,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,20,23,0,0,0,0,0,0,1,0,0,0,0,4,2023-07-10
646,4,2023,21,0,30,23,0,1,8,0,12,0,1,2,4,42,3,6,21,0,20,0,2,39,11,11,0,81,21,6,0,9,0,0,7,3,0,1,0,3,1,1,18,4,9,0,2,0,20,15,18,3,0,10,42,1,3,1,17,140,1,8,0,0,34,7,9,1,0,5,4,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2023-07-10
434,4,2023,283,2,78,45,2,2,73,0,130,2,3,3,13,368,6,16,85,9,66,3,7,135,41,81,10,513,275,153,0,4,0,9,7,2,1,3,12,19,1,7,98,9,13,0,10,0,39,132,264,6,12,39,360,1,6,6,66,845,19,18,0,9,86,11,13,7,0,26,67,0,8,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-10
