player_id,team_id,season,total_fouls_won,shots_off_target,through_balls,tackles_won,overruns,goals_conceded_outside_box,passes_own_half_unsuccessful,short_passes_unsuccessful,goals_conceded_inside_box,crosses_corners_successful,successful_passes_total,duels_ground_lost,long_passes_unsuccessful,passes_rightside,launches_unsuccessful,passess_leftside,minutes,passes_own_half_successful,loss_of_possession_total,duels_lost,foul_attempted_tackle,dribbles_successful,aerial_duels_won,games_played,sub_off,fouls_conceded_total,sub_on,goals_conceded_penalty,clearances_total,lay_offs_successful,throw_ins_to_opposition_player,passes_forward,tackles_total,tackles_lost,interceptions,open_play_passes_successful,throw_ins_to_own_player,blocks,yellow_cards,open_play_crosses_unsuccessful,crossses_corners_unsuccessful,corners_won,appearances,clean_sheets,passes_opposition_half_unsuccessful,passess_opp_half_successful,shots_on_target,recoveries,assists,goals_conceded,offsides,starts,key_passes,dribbles_unsuccessful,crosses_open_play_successful,passes_unsuccessful,passes_backwards,short_passes_successful,ground_duels_won,duels,shots_blocked,tackled,touches,duels_ground,duels_aerial,duels_won,aerial_duels_lost,passes_open_play,shots_total,passes_total,touches_total_opposition_box,long_passess_successful,assists_intentional,goals_win,woodwork_hit,corners_into_box_unsuccessful,goals,corners_taken,goals_right_foot,corners_into_box_successful,goals_inside_box,launches_successful,handballs_conceded,attempts_from_set_pieces,penalties_conceded,lay_offs_unsuccessful,goals_home,goals_away,last_player_tackle,goals_left_foot,saves_made_outside_box,penalties_saved,gk_distribution_successful,gk_distribution_unsuccessful,saves_penalty,saves_made,punches,saves_made_parried,goalkicks_total,penalties_faced,catches,saves_made_inside_box,penalties_won,goals_outside_box,goal_line_clearances,own_goals,penalty_goals,penalties_taken,goals_head,goals_set_piece,last_updated
511,4,2024,15,2,0,9,0,1,38,42,14,0,520,15,55,144,22,226,1239,397,115,25,5,3,16,16,2,9,2,1,65,1,0,205,14,5,17,506,2,17,2,5,5,0,16,4,64,123,3,58,1,15,0,14,1,1,0,97,42,472,32,73,2,5,808,47,26,48,10,600,5,617,12,48,0,0,0,0,1,0,1,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,4,2024,1,0,0,0,0,0,0,1,0,0,4,1,2,3,0,1,7,0,6,1,0,0,0,2,0,1,2,0,0,0,0,3,0,0,2,4,0,0,0,0,0,0,2,0,3,4,0,0,0,0,0,0,0,0,0,3,0,3,1,2,1,0,14,2,0,1,0,7,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
270,4,2024,13,2,3,8,0,4,28,70,21,6,334,45,3,105,2,86,1065,157,123,60,12,4,12,21,14,16,7,3,11,12,1,107,13,5,15,320,3,0,2,5,12,1,21,0,57,183,5,43,1,25,2,14,10,5,1,73,109,325,30,102,1,14,565,75,27,42,15,393,7,407,15,9,0,1,0,7,2,11,0,3,1,3,1,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2025-03-12
152,4,2024,11,10,0,36,0,4,113,132,30,1,944,53,128,295,84,251,2159,667,305,91,10,3,26,24,1,20,0,3,108,0,11,560,58,22,39,909,29,17,5,4,4,6,24,7,151,278,2,117,0,34,0,24,4,3,1,260,98,871,72,189,5,13,1592,125,64,98,38,1163,12,1204,29,73,0,1,1,0,1,0,0,0,1,27,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,2025-03-12
788,4,2024,32,14,1,35,4,3,44,121,23,20,386,155,17,96,5,123,1595,152,310,176,34,24,13,24,9,50,7,2,8,14,1,150,52,17,17,381,27,2,6,27,42,12,24,3,136,254,9,95,2,26,8,17,22,39,15,138,155,359,108,297,5,81,978,263,34,121,21,517,23,524,51,27,1,1,2,11,4,15,4,4,4,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,2025-03-12
656,4,2024,20,15,0,7,2,4,29,103,26,2,243,89,15,81,8,68,1720,132,230,135,16,13,32,24,5,30,5,3,20,19,2,83,14,7,4,210,7,3,2,11,11,15,24,4,100,113,17,56,0,30,4,19,12,15,2,118,129,233,47,214,9,54,671,136,78,79,46,328,32,361,76,10,0,0,1,0,5,0,1,0,5,0,1,0,0,3,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2025-03-12
858,4,2024,38,11,0,36,6,5,50,139,33,9,492,114,19,75,9,170,2073,247,381,146,6,28,29,25,3,16,2,4,45,3,60,282,60,24,29,482,161,6,3,27,27,15,25,6,135,254,5,134,2,38,4,23,10,39,9,158,123,475,126,301,12,79,1372,240,61,155,32,640,16,650,60,17,2,0,0,0,1,0,1,0,1,2,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025-03-12
529,4,2024,3,3,0,16,0,6,70,124,23,13,670,39,83,269,34,80,1699,460,292,48,5,8,7,23,1,10,5,1,46,0,15,410,26,10,21,650,92,5,3,23,28,4,23,4,165,223,1,108,0,29,0,18,10,5,13,207,118,635,37,92,3,16,1228,76,16,44,9,854,4,877,7,35,0,0,0,5,0,6,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025-03-12
819,4,2024,11,8,2,22,1,2,71,125,25,3,620,67,47,174,25,157,1589,397,237,92,12,7,19,23,8,25,5,2,31,6,1,324,37,15,10,606,21,9,5,9,11,4,23,3,112,226,4,95,2,27,1,18,6,10,1,172,137,576,55,166,6,24,1057,122,44,74,25,776,12,792,23,44,1,0,0,2,0,6,0,2,0,11,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025-03-12
860,4,2024,5,4,0,21,1,2,28,61,20,4,290,44,12,82,6,86,1021,150,129,53,9,5,4,15,5,15,3,3,15,4,1,116,30,9,18,283,14,1,2,11,15,4,15,2,60,144,2,51,1,22,0,12,8,6,1,73,79,274,40,97,0,17,556,84,13,44,9,354,6,363,7,16,1,0,0,3,0,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
403,4,2024,31,6,0,47,2,3,67,129,31,2,699,75,35,219,15,254,1836,428,225,101,16,6,32,23,7,22,2,3,67,5,1,260,73,26,45,672,5,11,2,2,2,1,23,6,99,273,5,139,0,34,1,21,12,6,2,164,130,642,110,243,1,35,1262,185,58,142,26,836,11,863,25,57,0,0,0,0,0,0,0,0,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
145,4,2024,1,0,0,1,0,1,8,16,4,0,76,8,3,29,0,16,165,40,24,11,2,3,1,5,1,3,4,0,3,0,0,27,4,3,1,76,0,1,1,0,0,0,5,0,11,36,1,17,0,5,0,1,0,2,0,19,23,72,8,20,0,3,122,16,4,9,3,95,1,95,2,4,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
799,4,2024,0,0,0,1,0,1,0,1,2,0,4,1,0,0,0,2,29,3,3,1,0,0,0,3,0,0,3,0,6,0,1,2,3,2,0,4,1,1,0,0,0,0,3,0,1,1,0,3,0,3,0,0,0,0,0,1,1,4,3,4,0,0,20,4,0,3,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
387,4,2024,28,15,3,20,11,3,35,137,28,44,356,114,32,120,15,70,1888,155,456,134,7,20,25,26,12,15,4,2,16,11,5,200,30,10,40,339,49,0,1,62,135,29,26,1,269,245,8,85,5,31,0,22,43,51,12,169,135,347,78,237,3,85,1133,192,45,103,20,506,23,525,57,9,4,0,2,51,1,79,0,20,0,2,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2025-03-12
856,4,2024,6,3,0,7,2,0,14,47,9,1,111,50,2,49,0,15,727,46,120,56,3,14,5,16,5,4,10,0,5,1,0,49,12,5,3,108,17,2,0,16,16,10,16,1,51,66,6,34,1,9,3,6,4,19,1,49,47,108,32,93,9,38,340,82,11,37,6,157,9,160,34,3,1,0,0,0,1,0,0,0,1,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,4,2024,26,5,0,17,0,1,28,44,10,1,286,19,29,58,14,108,913,213,90,28,2,2,17,11,1,6,1,1,47,0,0,160,23,6,11,256,2,15,1,1,1,0,11,4,46,74,0,54,0,11,1,10,4,3,1,73,33,259,50,95,1,7,534,69,26,67,9,326,5,359,9,27,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
859,4,2024,2,0,0,1,2,1,2,9,5,0,32,11,1,3,1,14,107,20,30,12,1,6,0,4,1,1,3,0,1,0,4,13,3,2,0,28,6,1,1,2,2,0,4,0,10,12,0,8,0,6,0,1,1,5,0,10,12,31,11,23,0,8,94,22,1,11,1,38,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
