player_id,team_id,season,duels_ground_lost,loss_of_possession_total,clean_sheets,passes_backwards,starts,interceptions,clearances_total,long_passess_successful,goals_left_foot,successful_passes_total,goals_conceded_outside_box,passes_total,assists_intentional,key_passes,appearances,lay_offs_unsuccessful,passess_leftside,shots_off_target,shots_total,blocks,sub_on,assists,games_played,launches_successful,minutes,passes_rightside,long_passes_unsuccessful,goals_conceded,dribbles_unsuccessful,lay_offs_successful,sub_off,goals,passes_own_half_unsuccessful,passes_forward,passes_unsuccessful,recoveries,total_fouls_won,aerial_duels_lost,launches_unsuccessful,tackles_lost,corners_taken,duels_ground,passes_open_play,passes_opposition_half_unsuccessful,goals_conceded_penalty,touches,tackles_total,tackled,goals_conceded_inside_box,passes_own_half_successful,fouls_conceded_total,open_play_passes_successful,corners_into_box_unsuccessful,dribbles_successful,shots_blocked,short_passes_successful,throw_ins_to_opposition_player,shots_on_target,offsides,crosses_open_play_successful,handballs_conceded,passess_opp_half_successful,tackles_won,duels_lost,crossses_corners_unsuccessful,duels,corners_won,yellow_cards,penalties_conceded,open_play_crosses_unsuccessful,throw_ins_to_own_player,foul_attempted_tackle,crosses_corners_successful,duels_aerial,short_passes_unsuccessful,ground_duels_won,duels_won,touches_total_opposition_box,aerial_duels_won,goals_inside_box,goals_home,goals_away,goals_win,overruns,corners_into_box_successful,goals_right_foot,woodwork_hit,assists_second,through_balls,goals_outside_box,penalties_won,goals_head,red_cards_2nd_yellow,red_cards_total,penalties_taken,attempts_from_set_pieces,penalty_goals,gk_distribution_unsuccessful,saves_made_parried,goalkicks_total,penalties_faced,gk_smother,saves_made_caught,drops,saves_made_inside_box,punches,gk_distribution_successful,saves_made,saves_made_outside_box,catches,last_player_tackle,goal_line_clearances,own_goals,last_updated
673,7,2024,115,425,9,211,28,26,65,35,1,905,4,1123,2,16,29,1,83,4,9,10,1,2,29,10,2378,341,63,22,27,2,9,1,92,488,218,125,16,11,44,30,1,222,1100,167,2,1853,64,67,18,504,23,883,1,27,3,870,46,5,1,7,2,408,34,126,41,249,14,3,1,39,219,12,7,27,155,107,123,40,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
805,7,2024,11,25,0,7,0,0,1,0,0,22,0,31,1,2,8,0,10,1,1,0,8,1,8,0,82,3,1,0,2,0,0,0,4,11,9,8,0,0,0,2,0,20,31,5,0,76,6,9,0,10,1,22,0,3,0,22,2,0,0,0,0,12,4,11,0,20,2,1,0,0,3,1,0,0,8,9,9,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
554,7,2024,77,276,3,184,19,24,19,54,0,735,4,907,2,29,24,0,208,8,15,2,5,3,24,4,1753,240,34,18,14,9,8,2,47,275,172,127,24,12,14,21,34,164,862,171,2,1234,45,27,14,351,21,696,25,18,6,681,0,7,1,3,0,397,24,89,46,185,6,2,1,13,4,10,13,21,138,87,96,18,9,1,1,1,1,0,9,2,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
885,7,2024,154,346,8,59,23,4,3,8,4,169,2,284,5,32,25,2,87,42,95,1,2,7,25,0,2006,76,5,14,56,6,10,17,4,62,115,75,43,26,0,4,0,272,279,137,0,830,17,114,12,31,38,164,0,58,19,161,0,53,15,10,1,148,13,180,26,315,40,1,0,26,1,20,10,43,110,118,135,265,17,17,11,6,8,5,0,7,1,0,1,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
878,7,2024,7,22,0,5,2,3,5,2,0,59,1,74,0,2,3,0,10,0,0,0,1,0,3,0,192,29,5,4,1,0,2,0,2,30,15,7,6,3,4,2,0,17,73,13,1,108,4,1,3,22,5,58,0,1,1,57,1,0,0,1,0,38,2,10,0,21,0,2,0,0,1,5,1,4,10,10,11,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
822,7,2024,8,58,2,17,6,9,27,30,0,277,2,324,0,2,9,0,122,2,3,6,3,0,9,7,618,89,20,6,1,0,0,0,22,96,47,38,1,9,10,7,0,21,309,25,0,408,8,3,4,211,4,263,0,4,3,247,0,1,0,0,0,66,1,17,0,44,1,1,0,0,1,1,0,23,27,13,27,9,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
668,7,2024,58,213,0,94,19,4,8,7,0,313,4,408,1,28,27,1,82,11,25,3,8,1,27,0,1449,88,10,17,11,6,18,2,27,144,95,52,23,14,6,12,0,123,405,101,2,706,31,31,13,113,17,310,0,11,10,306,0,14,2,7,1,207,19,72,33,149,9,3,0,33,6,9,7,26,85,65,77,73,12,2,1,1,0,7,0,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
882,7,2024,36,48,0,21,1,2,0,1,0,61,1,82,0,2,8,0,19,0,0,0,7,0,8,0,174,21,3,2,5,3,1,0,6,21,21,17,6,3,2,3,0,60,82,17,0,146,12,19,1,20,8,61,0,6,1,60,0,0,0,0,0,41,9,39,2,64,2,0,0,2,0,7,0,4,18,24,25,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
884,7,2024,21,181,5,80,14,11,30,24,0,501,1,624,1,8,24,0,205,1,1,5,10,1,24,8,1349,70,48,12,5,1,6,0,43,269,123,56,4,17,24,10,1,62,608,93,0,918,34,14,11,290,3,486,0,3,2,477,16,0,0,2,0,214,24,38,13,85,7,1,0,12,111,2,3,23,75,41,47,8,6,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
91,7,2024,33,96,1,100,11,16,12,14,0,450,1,509,0,6,19,0,117,4,7,1,8,0,19,0,869,115,20,9,8,7,10,0,16,177,59,52,6,14,12,13,4,68,491,49,1,662,27,16,8,230,10,432,2,2,1,436,0,3,0,2,0,222,14,47,6,86,2,3,0,4,0,4,2,18,39,35,39,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
425,7,2024,2,21,0,5,1,1,2,0,0,24,0,40,0,0,4,0,4,0,0,0,3,0,4,0,75,11,4,2,0,0,1,0,14,20,16,6,0,0,4,1,0,6,39,4,2,59,4,0,2,17,2,23,0,0,0,24,1,0,0,0,0,7,3,2,2,6,0,0,0,2,5,2,0,0,12,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
879,7,2024,2,5,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,1,0,1,0,6,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,2,2,1,0,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
545,7,2024,5,18,0,6,0,0,0,0,0,7,0,17,0,1,4,0,3,0,0,0,4,0,4,0,48,1,0,0,0,1,0,0,2,7,10,4,3,0,0,2,0,15,17,9,0,37,6,3,0,4,1,7,0,1,0,7,0,0,1,0,0,3,4,5,1,17,3,0,0,1,0,1,0,2,10,10,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
