player_id,team_id,season,handballs_conceded,fouls_conceded_total,tackles_won,passes_forward,passes_total,duels_aerial,goals_inside_box,goals_conceded,goals_conceded_inside_box,duels_ground_lost,minutes,crossses_corners_unsuccessful,duels,successful_passes_total,passes_opposition_half_unsuccessful,assists,short_passes_unsuccessful,shots_blocked,sub_off,foul_attempted_tackle,shots_off_target,key_passes,ground_duels_won,open_play_crosses_unsuccessful,passes_open_play,long_passess_successful,aerial_duels_lost,launches_successful,passess_leftside,duels_won,shots_total,goals_left_foot,blocks,dribbles_successful,interceptions,launches_unsuccessful,assists_second,passes_own_half_unsuccessful,goals_conceded_penalty,loss_of_possession_total,touches,passess_opp_half_successful,recoveries,starts,throw_ins_to_own_player,crosses_corners_successful,dribbles_unsuccessful,long_passes_unsuccessful,clearances_total,duels_ground,short_passes_successful,tackles_lost,passes_own_half_successful,goals_conceded_outside_box,corners_won,passes_backwards,goals,tackles_total,through_balls,aerial_duels_won,crosses_open_play_successful,games_played,touches_total_opposition_box,passes_unsuccessful,sub_on,duels_lost,open_play_passes_successful,clean_sheets,tackled,appearances,passes_rightside,shots_on_target,throw_ins_to_opposition_player,goals_home,goals_away,goals_win,total_fouls_won,goals_right_foot,own_goals,assists_intentional,lay_offs_successful,offsides,yellow_cards,lay_offs_unsuccessful,goals_outside_box,woodwork_hit,overruns,goal_line_clearances,penalties_won,corners_into_box_unsuccessful,corners_into_box_successful,corners_taken,attempts_from_set_pieces,penalties_taken,penalty_goals,goals_set_piece,goals_head,saves_made,gk_smother,penalties_faced,gk_distribution_successful,drops,catches,saves_made_parried,saves_made_inside_box,penalties_conceded,saves_made_caught,gk_distribution_unsuccessful,saves_made_outside_box,goalkicks_total,punches,crosses_not_claimed,last_updated
NA,13,2024,0,1,4,2,18,0,0,1,0,6,45,0,13,12,4,0,6,0,0,1,1,0,7,0,18,1,0,1,10,7,2,0,0,0,1,0,0,2,0,13,41,4,5,0,0,0,1,0,2,13,11,2,8,1,1,5,0,6,0,0,0,6,3,6,6,6,12,0,2,6,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
862,13,2024,0,2,1,12,49,2,1,6,5,12,131,2,22,31,16,0,16,0,1,1,0,2,8,1,48,2,1,0,8,9,1,1,0,4,0,2,0,4,0,34,83,18,8,0,0,0,5,2,1,20,29,2,13,1,2,12,1,3,0,1,0,10,7,18,10,13,30,0,5,10,17,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
278,13,2024,1,15,12,51,189,15,2,9,8,38,794,11,88,139,48,2,42,9,7,12,9,12,35,11,179,3,10,1,46,40,17,1,1,12,16,6,0,13,0,106,364,97,32,9,0,6,6,8,5,73,136,8,48,1,7,44,2,20,1,5,6,15,50,50,6,48,129,0,16,15,48,8,0,1,1,1,3,1,0,2,6,12,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
749,13,2024,1,9,15,183,512,32,1,15,12,12,926,1,77,435,47,0,40,5,1,6,1,0,33,1,493,28,15,10,144,50,4,0,12,3,15,25,0,31,0,88,665,131,63,11,0,0,1,37,53,45,407,5,304,3,0,14,1,20,0,17,0,11,11,77,0,27,423,2,2,11,171,3,0,1,0,0,10,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,4,0,0,2025-03-12
641,13,2024,0,15,25,453,869,41,1,20,17,36,1528,74,127,586,293,2,142,2,5,10,7,35,50,43,833,66,22,34,21,69,10,1,3,5,34,88,1,64,1,426,1411,346,79,18,175,37,6,141,41,86,520,10,277,3,10,147,1,35,1,19,14,22,24,283,4,58,561,3,13,22,248,3,31,0,1,0,10,0,0,1,0,1,1,0,0,1,2,0,0,25,23,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
707,13,2024,0,0,0,137,315,8,0,8,7,1,990,0,14,246,29,0,2,0,0,0,0,1,5,0,180,62,0,15,77,13,0,0,0,1,0,24,0,40,0,76,452,19,114,11,0,0,0,67,7,6,184,0,227,1,0,0,0,0,0,8,0,11,0,69,0,1,152,6,0,11,101,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,1,0,130,1,15,6,21,0,0,21,17,86,4,1,2025-03-12
61,13,2024,0,1,6,30,70,1,0,3,2,3,134,0,15,56,9,0,13,0,0,1,0,0,11,0,68,0,1,0,15,11,0,0,1,2,1,1,0,5,0,17,91,19,15,0,0,0,0,1,3,14,56,3,37,1,0,15,0,9,0,0,0,12,1,14,12,4,54,0,1,12,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
395,13,2024,0,9,19,499,1239,59,2,30,27,24,1998,1,119,1050,116,0,93,2,2,6,6,5,36,1,1218,68,18,22,193,77,12,0,25,0,28,48,0,74,2,213,1502,210,81,22,4,0,2,96,96,60,982,8,840,3,4,67,2,27,0,41,0,25,30,189,3,42,1034,7,10,25,480,6,2,1,1,0,10,0,1,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2025-03-12
861,13,2024,0,0,0,19,39,1,0,1,1,1,71,0,4,33,3,0,3,1,1,0,0,0,2,0,39,2,0,0,13,3,0,0,1,1,2,1,0,3,0,10,70,15,5,1,16,1,0,3,1,3,31,1,19,0,0,6,0,1,0,1,1,3,1,6,2,1,33,0,1,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
864,13,2024,0,14,30,185,458,43,1,27,23,54,1601,27,165,312,116,0,103,2,1,4,4,10,68,27,452,12,25,5,116,86,9,0,4,15,26,34,0,57,0,260,905,136,68,16,115,8,12,43,44,122,300,9,184,4,7,86,1,39,1,18,8,25,28,146,9,79,307,5,24,25,71,5,27,1,0,0,14,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
863,13,2024,2,14,12,105,338,39,5,10,9,66,868,4,165,243,82,4,94,7,10,6,15,29,60,4,322,8,14,0,75,85,25,5,1,20,2,0,0,17,0,189,577,185,52,11,1,5,17,1,9,126,235,11,63,1,12,76,5,23,6,25,5,16,58,95,5,80,227,0,48,16,82,10,1,5,0,0,17,0,0,2,10,4,0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
292,13,2024,0,6,18,199,527,14,4,19,16,94,1642,34,184,368,170,5,139,13,16,6,19,44,76,14,515,16,8,5,88,82,30,1,1,37,19,8,0,23,1,325,918,283,88,19,10,8,37,20,3,170,352,12,93,3,10,111,4,30,10,6,6,24,87,159,5,102,358,1,71,24,129,11,1,2,2,2,9,3,0,5,11,7,0,2,0,1,4,0,0,14,2,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
