player_id,team_id,season,starts,tackles_won,passes_own_half_successful,fouls_conceded_total,recoveries,successful_passes_total,goals_conceded_inside_box,open_play_passes_successful,blocks,appearances,passes_total,short_passes_successful,goals_conceded,passes_own_half_unsuccessful,dribbles_unsuccessful,sub_off,launches_unsuccessful,tackled,passes_backwards,tackles_lost,passes_forward,throw_ins_to_opposition_player,aerial_duels_lost,passess_opp_half_successful,touches,clean_sheets,shots_on_target,clearances_total,goals_right_foot,throw_ins_to_own_player,minutes,tackles_total,total_fouls_won,goals_inside_box,goals,interceptions,duels_lost,sub_on,dribbles_successful,passes_open_play,passes_rightside,games_played,open_play_crosses_unsuccessful,goals_conceded_penalty,loss_of_possession_total,touches_total_opposition_box,duels,duels_aerial,short_passes_unsuccessful,long_passess_successful,aerial_duels_won,corners_won,shots_off_target,passes_opposition_half_unsuccessful,duels_ground_lost,crossses_corners_unsuccessful,passes_unsuccessful,shots_total,launches_successful,long_passes_unsuccessful,ground_duels_won,duels_won,passess_leftside,duels_ground,goals_home,goals_away,goals_win,penalties_taken,assists,foul_attempted_tackle,crosses_corners_successful,through_balls,assists_intentional,woodwork_hit,goals_conceded_outside_box,crosses_open_play_successful,penalties_off_target,corners_into_box_unsuccessful,goal_line_clearances,corners_taken,key_passes,penalty_goals,corners_into_box_successful,lay_offs_successful,lay_offs_unsuccessful,yellow_cards,offsides,goals_head,shots_blocked,overruns,handballs_conceded,assists_second,goalkicks_total,gk_distribution_successful,last_player_tackle,own_goals,goals_outside_box,saves_made_parried,punches,gk_distribution_unsuccessful,catches,saves_made_caught,saves_made,saves_made_inside_box,saves_penalty,drops,penalties_saved,penalties_faced,saves_made_outside_box,penalties_conceded,penalties_won,attempts_from_set_pieces,goals_left_foot,red_cards_2nd_yellow,red_cards_total,last_updated
93,11,2024,22,44,604,29,202,1083,19,1072,2,24,1233,1060,22,54,22,2,10,67,312,35,325,1,25,479,1678,4,1,34,1,5,2020,79,38,0,1,40,157,2,20,1222,335,24,6,1,260,19,310,41,131,23,16,4,4,102,132,6,150,5,6,19,137,153,261,269,0,1,1,0,3,19,0,1,3,0,3,0,0,0,0,0,15,0,0,29,0,6,2,0,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2025-03-12
543,11,2024,6,9,49,5,32,117,5,113,0,19,151,111,6,11,15,6,0,30,50,3,33,0,7,69,270,0,1,5,0,4,576,12,21,0,0,5,47,13,3,147,36,19,0,0,81,15,92,16,33,6,9,3,2,24,40,1,34,3,0,1,36,45,32,76,0,0,0,0,1,2,1,0,1,1,1,1,0,1,0,1,2,0,0,7,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
595,11,2024,9,4,82,14,28,186,4,178,2,20,232,178,4,17,4,9,3,21,55,2,61,0,13,104,352,0,9,6,3,1,764,6,8,3,3,6,51,11,8,224,54,20,0,1,92,24,82,22,40,8,9,3,5,29,38,0,46,14,0,6,22,31,62,60,2,1,2,0,2,6,0,1,2,0,0,0,0,0,0,0,5,0,0,8,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
876,11,2024,22,26,556,26,75,885,21,849,12,26,1088,852,24,90,8,7,23,20,162,21,419,31,17,340,1604,6,3,39,0,167,1964,47,16,1,1,27,90,4,7,1052,444,26,18,0,317,17,177,34,160,33,17,5,7,152,73,39,203,10,12,43,70,87,63,143,0,1,1,0,0,17,11,0,0,0,3,6,0,17,0,25,19,0,6,4,0,2,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
515,11,2024,26,16,268,9,122,702,21,681,3,27,885,669,24,48,34,19,13,85,251,11,276,2,11,451,1389,1,28,20,4,19,2219,27,18,3,5,13,127,1,39,861,168,27,38,2,394,99,219,19,151,33,8,14,21,194,116,59,183,49,4,32,84,92,190,200,3,2,2,0,4,5,17,6,3,2,3,8,0,15,0,24,35,0,3,22,4,1,5,1,21,4,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,2025-03-12
251,11,2024,1,2,25,3,10,58,3,56,1,12,79,56,3,5,1,1,2,4,22,2,17,0,3,33,132,0,4,0,1,2,208,4,5,2,2,1,15,11,3,77,25,12,7,1,43,12,29,5,19,2,2,2,0,23,12,7,21,4,0,2,12,14,15,24,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,3,0,0,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025-03-12
467,11,2024,8,18,78,22,58,190,9,188,1,22,270,186,9,29,21,7,1,42,83,10,56,6,14,124,512,0,4,6,2,19,781,28,8,2,3,5,82,14,7,268,29,22,27,1,192,59,129,18,73,4,4,9,3,78,68,27,80,7,1,7,43,47,102,111,2,1,0,0,1,11,12,0,1,0,0,12,0,0,0,0,12,0,0,6,1,4,8,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025-03-12
NA,11,2024,2,2,12,1,13,33,3,33,1,5,51,32,3,4,7,1,0,16,18,2,12,0,1,21,103,0,2,2,1,0,248,4,2,1,1,2,22,3,1,51,11,5,5,0,44,17,32,4,18,1,3,3,1,19,21,5,18,3,0,0,7,10,10,28,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
174,11,2024,8,15,242,9,59,373,7,369,4,21,447,365,8,38,9,5,13,21,90,8,162,5,13,131,622,0,1,28,1,20,835,23,5,1,1,6,47,13,4,442,130,21,1,1,118,17,98,32,59,8,19,1,1,37,34,1,74,2,3,15,32,51,65,66,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025-03-12
345,11,2024,26,57,961,14,174,1595,24,1568,11,26,1861,1541,28,106,27,0,43,61,282,22,741,23,25,649,2690,5,1,64,0,267,2328,79,8,0,0,57,121,0,21,1833,85,26,50,1,456,27,242,38,184,54,13,12,1,210,96,50,266,2,9,82,108,121,753,204,0,0,0,0,0,9,15,0,0,0,4,15,0,0,0,0,23,0,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2025-03-12
758,11,2024,1,1,31,3,12,65,7,65,0,11,97,64,7,8,17,1,2,26,27,1,21,1,3,37,209,0,5,0,2,5,380,2,4,2,2,1,36,10,9,97,17,11,4,1,83,43,53,5,30,1,2,5,5,28,33,4,32,10,0,2,15,17,32,48,2,0,0,0,2,0,3,0,2,0,0,3,0,0,0,0,5,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
