player_id,team_id,season,minutes,passes_open_play,touches,gk_distribution_successful,loss_of_possession_total,drops,short_passes_successful,passes_forward,short_passes_unsuccessful,saves_made,goalkicks_total,catches,long_passess_successful,launches_unsuccessful,clearances_total,launches_successful,saves_made_parried,goals_conceded_inside_box,passes_total,goals_conceded,saves_made_inside_box,punches,long_passes_unsuccessful,passes_rightside,appearances,saves_made_outside_box,open_play_passes_successful,passess_leftside,recoveries,successful_passes_total,starts,games_played,passess_opp_half_successful,passes_own_half_unsuccessful,saves_made_caught,passes_unsuccessful,gk_distribution_unsuccessful,passes_own_half_successful,passes_opposition_half_unsuccessful,goals_win,crossses_corners_unsuccessful,foul_attempted_tackle,tackled,overruns,woodwork_hit,duels_ground_lost,fouls_conceded_total,key_passes,duels_won,shots_blocked,throw_ins_to_own_player,touches_total_opposition_box,corners_won,passes_backwards,ground_duels_won,goals_conceded_outside_box,lay_offs_successful,dribbles_successful,lay_offs_unsuccessful,sub_off,tackles_total,tackles_lost,through_balls,sub_on,duels,offsides,duels_lost,tackles_won,goals,shots_total,goals_inside_box,shots_on_target,total_fouls_won,open_play_crosses_unsuccessful,shots_off_target,interceptions,duels_ground,duels_aerial,aerial_duels_won,aerial_duels_lost,yellow_cards,crosses_open_play_successful,crosses_corners_successful,dribbles_unsuccessful,goals_right_foot,goals_home,goals_away,clean_sheets,goals_left_foot,assists_intentional,throw_ins_to_opposition_player,goals_conceded_penalty,assists,blocks,last_player_tackle,penalties_won,corners_taken,handballs_conceded,corners_into_box_successful,corners_into_box_unsuccessful,attempts_from_set_pieces,penalty_goals,goals_set_piece,goals_outside_box,penalties_taken,penalties_conceded,penalties_faced,gk_smother,goals_head,goal_line_clearances,last_updated
298,15,2024,85,33,54,0,20,0,22,20,11,0,0,0,1,0,1,0,0,2,35,2,0,0,1,6,5,0,21,5,3,23,0,5,24,2,0,12,0,2,11,0,1,2,2,0,0,7,5,3,6,0,0,0,0,4,3,0,1,0,0,0,1,0,1,5,17,1,11,1,0,0,0,0,2,1,0,0,10,7,3,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
619,15,2024,490,206,330,0,99,0,157,82,53,0,0,0,3,0,7,0,0,8,216,8,0,0,3,42,10,0,150,46,33,160,6,10,97,17,0,56,0,69,54,0,15,1,12,1,0,24,7,14,40,1,2,14,0,46,26,0,8,4,0,5,15,8,1,4,71,0,31,7,1,4,0,2,8,15,2,5,50,21,14,7,2,2,6,2,0,0,1,0,1,0,1,0,0,1,0,0,3,1,3,0,0,0,0,1,0,0,0,0,0,0,2025-03-12
273,15,2024,1743,402,675,0,236,0,268,110,140,0,0,0,3,9,40,1,0,32,423,34,0,0,12,93,25,0,252,98,49,271,19,25,146,43,0,152,0,128,112,2,3,11,34,2,1,57,15,9,118,7,0,70,3,122,41,2,19,8,5,8,17,6,0,6,227,19,109,11,7,23,6,14,17,3,9,4,98,129,77,52,1,3,3,13,3,4,3,3,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,2025-03-12
155,15,2024,364,148,319,0,96,0,108,76,23,0,0,0,3,11,19,1,0,6,155,7,0,0,21,27,13,0,108,34,14,111,3,13,57,11,0,44,0,62,47,0,14,1,13,0,0,16,1,7,23,1,51,1,1,18,16,1,0,2,0,3,12,5,0,10,40,1,17,7,0,1,0,1,3,6,0,3,32,8,7,1,1,2,8,6,0,0,0,0,0,0,15,1,0,0,0,0,11,0,6,4,0,0,0,0,0,0,0,0,0,0,2025-03-12
617,15,2024,706,304,423,0,96,0,232,111,51,0,0,0,9,15,13,3,0,10,308,10,0,0,16,80,13,0,237,54,34,241,8,13,100,34,0,67,0,141,35,0,2,5,11,0,0,27,11,3,35,1,0,10,2,63,27,0,3,5,0,6,12,5,0,5,71,0,36,7,0,2,0,1,10,2,1,10,54,17,8,9,4,0,0,4,0,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2025-03-12
42,15,2024,196,71,133,0,42,0,50,21,13,0,0,0,5,5,0,0,0,6,73,6,0,0,5,12,9,0,53,21,12,55,1,9,31,4,0,18,0,24,17,0,3,1,13,2,0,19,3,2,11,5,1,22,2,19,10,0,2,5,1,1,5,1,0,8,34,2,23,4,1,5,1,3,0,3,2,2,29,5,1,4,0,0,0,6,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
618,15,2024,1793,1076,1392,1,180,0,898,357,82,0,1,0,68,48,127,24,0,28,1120,30,0,0,72,388,23,0,929,302,72,966,19,23,217,80,0,154,0,749,76,0,2,4,5,1,0,16,7,2,58,2,10,20,5,73,35,2,0,0,0,0,29,6,1,4,95,0,37,23,0,8,0,3,6,2,5,19,51,44,23,21,3,0,0,0,0,0,0,3,0,0,5,2,0,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-03-12
559,15,2024,262,90,168,0,42,0,65,36,20,0,0,0,1,5,3,0,0,6,93,6,0,0,7,16,5,0,63,16,3,66,3,5,32,11,0,27,0,34,19,0,3,1,2,0,0,7,2,0,6,2,41,3,2,25,5,0,1,0,0,3,2,0,0,2,15,0,9,2,0,0,0,0,3,3,0,4,12,3,1,2,0,0,0,1,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
119,15,2024,1139,616,864,0,200,0,469,207,102,0,0,0,21,20,31,4,0,23,625,25,0,0,33,132,20,0,481,158,87,490,13,20,240,66,0,135,0,250,72,0,3,22,34,0,1,73,30,4,85,6,0,22,2,128,67,2,16,10,0,7,39,17,6,7,162,0,77,22,1,12,1,6,19,3,6,17,140,22,18,4,3,0,0,16,0,1,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
185,15,2024,1625,616,1207,0,264,0,500,216,81,0,0,0,18,27,36,10,0,26,634,28,0,0,35,52,24,0,500,232,58,518,16,24,228,48,0,116,0,293,100,0,32,16,55,6,0,101,23,6,110,6,178,33,10,134,104,2,2,22,0,5,52,21,0,8,221,2,111,31,0,7,0,5,30,32,2,22,205,16,6,10,4,3,3,36,0,0,0,2,0,0,20,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
737,15,2024,2149,626,1089,0,335,0,464,158,137,0,0,0,8,13,12,2,0,31,630,34,0,0,21,162,26,0,468,131,132,472,24,26,326,49,0,158,0,157,136,1,27,15,86,9,2,133,20,27,107,15,12,136,27,179,105,3,7,31,0,8,44,12,6,2,253,9,146,32,5,35,5,17,30,26,18,15,238,15,2,13,1,11,11,45,3,3,2,3,2,6,2,2,7,4,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2025-03-12
832,15,2024,887,381,675,0,107,0,334,99,41,0,0,0,3,6,20,1,0,18,384,19,0,0,6,143,15,0,334,65,52,337,10,15,174,19,0,47,0,164,38,0,10,4,19,1,0,33,8,14,64,3,83,31,8,77,63,1,3,15,0,8,37,14,0,5,104,0,40,23,0,3,0,2,11,10,1,19,96,8,1,7,1,1,1,11,0,0,0,0,0,0,9,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
614,15,2024,824,330,641,0,175,0,251,121,56,0,0,0,12,16,30,3,0,15,340,15,0,0,21,121,17,0,256,15,47,263,10,17,124,29,0,77,0,142,71,1,23,8,32,3,0,48,12,7,42,2,61,34,17,83,37,0,0,13,0,6,20,4,0,7,105,1,63,16,1,9,1,7,5,23,2,16,85,20,5,15,0,2,3,17,1,0,1,0,0,2,24,1,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,15,2024,746,487,660,0,159,0,377,171,80,0,0,0,22,14,16,1,0,13,509,14,0,0,30,113,10,0,378,119,47,399,8,10,203,31,0,110,0,206,103,0,24,6,13,0,1,32,12,11,51,2,2,7,3,106,39,1,4,8,0,3,26,11,1,2,93,0,42,15,0,8,0,1,5,4,7,7,71,22,12,10,2,3,10,3,0,0,0,1,0,0,0,1,1,2,0,0,30,0,7,15,0,0,0,0,0,0,0,0,0,0,2025-03-12
