player_id,team_id,season,woodwork_hit,passess_leftside,passes_forward,passes_own_half_successful,minutes,passess_opp_half_successful,appearances,passes_opposition_half_unsuccessful,tackles_lost,duels_lost,loss_of_possession_total,passes_total,passes_unsuccessful,goals_inside_box,clearances_total,short_passes_successful,successful_passes_total,goals_outside_box,starts,crossses_corners_unsuccessful,duels_ground,ground_duels_won,clean_sheets,sub_on,goals_conceded,tackles_total,lay_offs_successful,lay_offs_unsuccessful,duels_aerial,crosses_open_play_successful,passes_backwards,passes_rightside,duels_won,total_fouls_won,launches_unsuccessful,dribbles_successful,aerial_duels_won,crosses_corners_successful,passes_own_half_unsuccessful,dribbles_unsuccessful,sub_off,goals_conceded_outside_box,touches_total_opposition_box,tackles_won,key_passes,overruns,open_play_crosses_unsuccessful,yellow_cards,passes_open_play,goals,touches,long_passess_successful,goals_conceded_penalty,duels_ground_lost,foul_attempted_tackle,short_passes_unsuccessful,fouls_conceded_total,goals_right_foot,interceptions,shots_on_target,shots_blocked,corners_won,throw_ins_to_own_player,blocks,goals_conceded_inside_box,long_passes_unsuccessful,recoveries,duels,shots_total,games_played,aerial_duels_lost,tackled,open_play_passes_successful,shots_off_target,offsides,goals_home,goals_away,goals_win,corners_taken,throw_ins_to_opposition_player,last_player_tackle,launches_successful,corners_into_box_successful,corners_into_box_unsuccessful,goal_line_clearances,handballs_conceded,goalkicks_total,goals_head,assists,through_balls,assists_intentional,gk_distribution_successful,penalties_conceded,punches,saves_penalty,gk_distribution_unsuccessful,gk_smother,saves_made,penalties_saved,penalties_faced,saves_made_inside_box,saves_made_parried,drops,catches,saves_made_caught,saves_made_outside_box,attempts_from_set_pieces,goals_left_foot,penalties_won,penalty_goals,goals_set_piece,penalties_taken,last_updated
477,12,2024,0,345,579,941,2160,69,24,137,0,6,266,1267,257,0,21,824,1010,0,24,0,12,6,4,0,38,1,0,0,7,0,0,343,13,4,107,2,7,0,120,1,0,5,0,1,1,0,0,1,985,0,1539,186,6,6,0,31,0,0,0,0,0,0,0,0,33,226,227,19,0,24,0,1,833,0,0,0,0,0,0,0,1,35,0,0,0,0,181,0,0,0,0,252,0,8,1,51,3,84,1,8,61,17,3,19,9,22,0,0,0,0,0,0,2025-03-12
191,12,2024,1,117,238,207,1102,193,14,127,9,53,203,557,157,0,20,372,400,0,12,11,87,46,2,2,22,27,7,0,50,0,74,128,84,14,12,5,38,0,41,4,1,2,24,18,3,0,10,3,548,0,749,28,3,41,13,126,17,0,16,7,3,5,2,2,20,31,68,137,16,14,12,20,391,9,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2025-03-12
NA,12,2024,0,40,29,82,665,141,9,50,2,44,99,252,42,3,4,206,210,1,8,23,59,21,1,1,6,7,5,1,11,5,97,86,26,6,2,8,5,13,15,9,3,0,47,5,31,0,12,1,240,4,411,4,1,38,7,39,15,1,4,11,8,8,6,0,6,3,34,70,13,9,6,19,198,2,2,4,0,1,22,0,0,0,6,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2025-03-12
482,12,2024,0,9,19,21,114,3,4,6,0,9,15,35,11,0,7,23,24,0,1,0,11,5,0,3,0,3,0,0,3,0,6,1,5,1,1,1,0,0,5,0,1,0,0,3,0,0,0,0,35,0,69,1,0,6,1,8,1,0,2,0,0,0,8,1,0,3,7,14,0,4,3,1,24,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
408,12,2024,2,78,150,89,1578,184,22,135,12,66,257,402,143,1,15,247,259,1,20,29,117,63,1,2,29,31,6,2,22,11,89,85,73,18,13,14,10,14,37,14,13,2,65,19,21,5,23,2,394,2,734,12,5,54,11,120,14,1,16,8,11,14,10,1,27,23,73,139,22,22,12,28,253,14,5,1,1,0,8,3,0,2,3,4,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2025-03-12
915,12,2024,2,94,65,59,979,107,18,78,5,41,151,244,82,0,12,155,162,0,10,17,60,27,1,8,20,11,8,0,14,2,60,25,33,9,5,7,6,4,21,11,6,4,27,6,13,2,13,0,243,0,415,7,1,33,2,71,5,0,6,8,3,6,9,0,16,11,46,74,13,18,8,22,161,5,4,0,0,0,7,0,0,0,2,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
NA,12,2024,0,2,1,2,10,3,3,2,0,0,4,7,2,0,1,5,5,0,0,0,1,1,0,3,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
483,12,2024,0,27,14,64,90,1,1,3,0,0,4,68,3,0,2,62,65,0,1,0,0,0,0,0,2,0,0,0,0,0,0,27,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,77,3,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,0,0,1,0,0,51,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,14,0,0,0,0,0,2,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2025-03-12
914,12,2024,0,51,61,77,652,65,11,36,7,43,82,195,53,0,11,135,142,0,8,0,64,26,1,3,9,19,3,0,9,0,25,58,30,5,9,2,4,0,17,1,5,1,3,12,3,0,0,2,193,0,301,7,1,38,15,39,20,0,8,1,2,0,0,3,8,14,34,73,3,11,5,12,140,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
258,12,2024,0,5,7,8,108,11,5,11,1,7,23,30,11,0,3,18,19,0,0,1,13,6,0,5,0,3,2,0,7,0,15,3,13,2,0,1,7,0,1,2,1,0,10,2,1,0,1,0,29,0,65,1,0,7,0,11,1,0,1,2,1,3,0,0,0,0,5,20,3,5,0,5,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-03-12
