player_id,player_id,player_match_name,player_position,team_id,season,corners_into_box_successful,games_played,short_passes_successful,shots_off_target,passes_opposition_half_unsuccessful,corners_into_box_unsuccessful,clean_sheets,crossses_corners_unsuccessful,goals_conceded_outside_box,through_balls,duels_aerial,duels_ground,open_play_crosses_unsuccessful,goals_conceded,successful_passes_total,recoveries,handballs_conceded,tackled,duels,appearances,tackles_lost,duels_won,passes_unsuccessful,passes_rightside,overruns,short_passes_unsuccessful,passes_backwards,passes_open_play,key_passes,shots_on_target,open_play_passes_successful,crosses_corners_successful,lay_offs_successful,passes_own_half_unsuccessful,launches_successful,tackles_won,goals_inside_box,minutes,starts,long_passess_successful,sub_on,loss_of_possession_total,goals_conceded_inside_box,goals_right_foot,duels_lost,lay_offs_unsuccessful,shots_total,total_fouls_won,fouls_conceded_total,tackles_total,passes_forward,yellow_cards,touches_total_opposition_box,goals_left_foot,passes_own_half_successful,passes_total,passess_leftside,dribbles_unsuccessful,crosses_open_play_successful,corners_won,interceptions,dribbles_successful,aerial_duels_lost,assists,duels_ground_lost,passess_opp_half_successful,goals,long_passes_unsuccessful,clearances_total,goals_outside_box,touches,ground_duels_won,corners_taken,assists_intentional,sub_off,foul_attempted_tackle,launches_unsuccessful,shots_blocked,aerial_duels_won,goals_home,goals_away,goals_win,woodwork_hit,goal_line_clearances,goals_conceded_penalty,offsides,throw_ins_to_own_player,blocks,penalties_conceded,attempts_from_set_pieces,goals_other,goals_head,own_goals,throw_ins_to_opposition_player,penalties_won,assists_second,gk_distribution_successful,goalkicks_total,penalty_goals,penalties_taken,penalties_saved,saves_made_inside_box,gk_smother,saves_made,catches,punches,saves_made_caught,penalties_faced,saves_made_outside_box,saves_penalty,saves_made_parried,gk_distribution_unsuccessful,drops,last_updated,,
47,47,V. DiBernardo,Midfielder,13,2024,9,25,472,18,189,28,0,58,2,3,10,136,21,17,504,116,1,39,146,25,17,67,177,143,1,136,126,652,35,10,478,19,12,46,5,31,4,1726,22,32,3,317,15,5,79,1,28,10,19,48,288,3,49,1,169,681,124,13,9,9,31,6,7,6,72,354,6,41,23,2,1062,64,53,5,20,16,20,8,3,3,3,1,2,0,0,1,6,1,0,1,,0,0,0,1,0,0,0,1,1,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
49,49,S. Huerta,Defender,6,2024,24,19,595,4,203,22,4,90,2,0,17,102,63,32,638,97,2,15,119,19,17,78,166,24,0,84,173,763,31,3,609,39,0,53,18,16,2,1710,19,43,0,305,30,2,41,1,7,20,13,33,273,4,18,0,329,804,334,9,15,9,27,12,3,0,38,348,2,82,54,0,1348,64,51,0,0,4,54,4,14,0,2,0,1,0,3,2,174,3,1,0,,0,0,12,0,,0,0,2,2,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
53,53,S. Gorden,Defender,15,2024,0,24,1192,0,140,0,2,2,3,1,33,90,2,37,1250,166,0,17,123,24,9,75,249,268,1,142,99,1439,2,1,1199,0,1,111,15,20,0,2058,24,58,0,299,34,0,48,0,1,26,8,29,627,0,3,0,890,1499,505,4,0,1,22,7,19,0,29,360,0,107,80,0,1765,61,0,0,2,5,52,2,14,0,0,0,0,0,2,0,7,13,0,0,,0,,7,0,,2,3,0,0,,0,0,0,0,0,0,0,0,,0,1,0,3/12/25,,
55,55,S. Groom,Midfielder,2,2024,0,18,146,2,43,0,0,3,1,2,24,57,3,16,149,23,0,11,81,18,6,43,54,38,1,49,54,201,7,1,147,1,5,14,0,7,0,607,4,3,14,86,15,0,38,2,3,13,13,13,69,1,16,0,59,203,42,7,1,1,10,4,11,2,27,91,0,5,8,0,311,30,0,1,4,11,3,2,13,0,0,0,0,0,2,0,4,1,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
61,61,D. Scott,Midfielder,13,2024,0,12,56,0,9,0,0,0,1,0,1,14,0,3,56,15,0,1,15,12,3,11,14,10,0,13,15,68,0,0,54,0,0,5,0,6,0,134,0,0,12,17,2,0,4,0,0,0,1,9,30,0,1,0,37,70,15,0,0,0,1,2,1,0,3,19,0,1,3,0,91,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
64,64,L. LaBonta,Midfielder,13,2024,0,26,592,19,183,0,9,10,5,6,34,142,10,26,639,172,0,11,176,26,10,107,238,175,0,166,165,836,21,11,602,3,5,65,10,38,4,2056,23,47,3,295,21,4,69,1,30,33,22,48,353,3,30,1,341,877,184,3,3,9,37,8,16,1,53,301,6,72,23,2,1218,89,0,0,6,17,34,6,18,3,3,1,0,0,1,0,14,3,0,0,,1,0,4,0,1,0,0,3,3,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
73,73,K. Rowland,Goalkeeper,17,2024,0,21,506,0,42,0,5,0,4,0,12,4,0,28,569,178,0,2,16,21,0,11,97,258,0,9,0,451,0,0,409,0,0,55,10,0,0,1920,21,63,0,102,24,0,5,0,0,1,1,0,185,1,1,0,556,666,223,1,0,0,0,0,1,0,4,13,0,88,19,0,900,0,0,0,0,1,33,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,234,149,0,0,1,37,1,58,37,6,3,4,20,1,10,25,2,3/12/25,,
77,77,B. Sauerbrunn,Defender,8,2024,0,26,1270,6,74,0,9,0,3,0,41,43,0,29,1326,106,0,3,84,26,9,59,150,533,0,87,73,1435,6,2,1290,0,0,76,21,17,0,2236,25,56,1,161,26,0,25,0,8,8,4,26,568,0,17,0,969,1476,302,0,0,1,31,0,15,0,10,357,0,63,116,0,1742,33,0,0,1,2,51,0,26,0,0,0,0,0,0,0,3,21,0,0,,0,,0,0,,1,2,0,0,0,0,,0,0,0,0,0,0,0,0,1,0,3/12/25,,
91,91,M. Gautrat,Midfielder,7,2024,0,19,436,4,49,2,1,6,1,0,18,68,4,9,450,52,0,16,86,19,13,39,59,115,0,39,100,491,6,3,432,2,7,16,0,14,0,869,11,14,8,96,8,0,47,0,7,6,10,27,177,3,11,0,230,509,117,8,2,2,16,2,14,0,33,222,0,20,12,0,662,35,4,0,10,4,12,1,4,0,0,0,0,0,1,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
92,92,C. Roccaro,Midfielder,2,2024,0,27,710,4,130,0,6,1,7,0,24,101,1,42,764,154,1,20,125,27,10,72,197,239,0,89,136,945,8,1,754,0,2,68,14,20,0,2403,27,54,0,230,35,0,53,0,5,22,13,30,362,3,2,0,523,961,224,6,0,0,24,8,10,0,43,241,0,108,66,0,1228,58,0,0,2,9,59,4,14,0,0,0,1,0,2,0,0,20,1,0,,0,1,0,0,,1,1,0,0,,0,0,0,0,0,0,0,0,,0,0,0,3/12/25,,
