player_id,team_id,season,launches_unsuccessful,crosses_open_play_successful,total_fouls_won,passes_own_half_successful,long_passess_successful,handballs_conceded,woodwork_hit,minutes,passess_leftside,duels_aerial,passes_open_play,goals_right_foot,appearances,corners_won,shots_on_target,passes_total,short_passes_unsuccessful,starts,long_passes_unsuccessful,games_played,assists,lay_offs_successful,aerial_duels_lost,passess_opp_half_successful,clearances_total,foul_attempted_tackle,goals_inside_box,goals_conceded_outside_box,dribbles_unsuccessful,launches_successful,overruns,shots_off_target,tackles_total,tackles_won,duels_ground_lost,dribbles_successful,shots_blocked,fouls_conceded_total,tackles_lost,passes_unsuccessful,successful_passes_total,duels_ground,duels_won,aerial_duels_won,yellow_cards,throw_ins_to_own_player,offsides,sub_off,goals,open_play_crosses_unsuccessful,duels_lost,loss_of_possession_total,crosses_corners_successful,passes_forward,sub_on,passes_own_half_unsuccessful,short_passes_successful,through_balls,goals_left_foot,goals_conceded_penalty,passes_backwards,touches_total_opposition_box,goals_conceded,shots_total,crossses_corners_unsuccessful,tackled,penalties_won,corners_taken,interceptions,goals_conceded_inside_box,goals_outside_box,open_play_passes_successful,duels,key_passes,corners_into_box_unsuccessful,passes_rightside,ground_duels_won,recoveries,touches,lay_offs_unsuccessful,passes_opposition_half_unsuccessful,assists_intentional,attempts_from_set_pieces,goals_home,goals_away,goals_win,goalkicks_total,gk_distribution_successful,corners_into_box_successful,blocks,penalties_conceded,own_goals,clean_sheets,throw_ins_to_opposition_player,penalty_goals,assists_second,penalties_taken,last_player_tackle,goals_head,saves_penalty,drops,saves_made_inside_box,catches,saves_made_caught,red_cards_total,gk_smother,saves_made_parried,gk_distribution_unsuccessful,saves_made,punches,penalties_saved,red_cards_straight,saves_made_outside_box,penalties_faced,goal_line_clearances,last_updated
NA,9,2024,0,1,15,18,3,0,0,735,27,10,130,0,10,11,14,133,30,9,0,10,2,1,6,86,0,7,0,1,34,0,3,10,18,12,86,27,6,15,6,30,103,146,64,4,2,0,5,5,0,11,92,132,1,30,1,2,100,1,0,1,45,67,9,24,11,60,1,2,3,8,0,101,156,13,0,31,60,37,359,1,39,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3/12/25
32,9,2024,49,5,23,294,40,0,2,1976,48,40,728,1,25,7,1,749,141,23,78,25,3,0,21,241,42,8,1,4,22,11,3,4,36,27,72,19,7,18,9,219,530,150,97,19,2,164,2,8,1,35,93,385,5,332,2,83,490,0,0,2,133,22,22,5,37,42,0,10,28,18,0,511,190,17,2,236,78,109,1310,0,173,1,0,1,0,1,1,1,0,9,0,0,4,41,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3/12/25
610,9,2024,73,2,22,1157,90,0,0,2670,698,70,1769,1,29,8,4,1846,146,29,129,29,1,0,32,416,157,8,0,5,3,29,0,9,56,33,43,11,4,23,23,275,1571,132,127,38,2,5,2,0,1,8,75,313,2,718,0,110,1481,1,0,3,83,26,31,13,8,10,0,0,36,26,1,1504,202,10,0,347,89,181,2253,0,173,0,0,1,0,0,4,4,0,18,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
785,9,2024,22,3,3,241,12,0,0,1212,175,31,566,0,23,6,1,576,96,13,37,23,1,1,17,205,30,4,1,3,7,3,3,4,42,22,42,8,2,10,20,133,443,95,67,14,3,71,0,5,1,15,59,234,3,249,10,55,431,1,1,2,101,16,21,5,15,21,0,0,24,18,0,433,126,14,0,51,53,81,920,0,93,1,0,1,0,0,0,0,0,9,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
NA,9,2024,18,0,3,295,27,0,0,764,90,9,464,0,9,1,1,490,38,8,30,9,0,0,4,127,23,1,0,0,0,6,1,0,9,6,14,2,1,7,3,68,422,28,19,5,1,2,0,3,0,1,18,73,0,207,1,27,395,0,0,1,18,4,7,1,1,1,0,0,0,7,0,398,37,3,0,175,14,23,551,0,42,0,0,0,0,0,12,12,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
921,9,2024,4,0,6,39,2,0,1,745,42,6,190,4,15,5,11,194,60,6,6,15,3,8,3,97,4,2,5,0,15,1,2,4,16,9,36,10,7,5,7,66,128,68,35,3,0,3,1,6,5,8,39,126,8,65,9,16,126,1,1,1,61,40,7,15,13,26,1,9,1,7,0,128,74,11,3,26,32,33,353,0,63,2,0,3,2,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
9,9,2024,1,2,8,38,4,1,2,528,50,13,139,2,25,7,9,142,30,3,2,25,0,2,10,74,7,0,3,1,13,2,1,9,11,6,31,7,3,2,5,32,110,57,29,3,1,2,4,2,3,10,41,81,2,41,22,8,106,0,1,1,39,24,6,18,10,23,0,3,4,5,0,107,70,5,0,12,26,32,273,0,34,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
780,9,2024,1,0,1,3,0,0,0,18,4,1,17,0,4,0,0,17,3,0,2,4,0,0,0,9,0,1,0,0,3,0,0,0,3,2,6,1,0,1,1,5,12,11,6,1,0,0,0,0,0,0,6,12,0,3,4,3,12,0,0,0,3,4,0,0,0,5,0,0,0,0,0,12,12,0,0,7,5,1,35,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
581,9,2024,12,23,56,131,21,0,1,2100,157,47,577,5,26,36,41,580,172,23,29,26,6,8,12,272,18,18,7,4,71,3,11,27,49,39,157,63,26,28,10,201,379,325,203,35,5,24,8,13,8,62,169,469,24,188,3,44,358,8,3,1,141,142,24,68,62,112,1,2,25,20,1,376,372,50,0,94,168,146,1291,2,219,6,0,5,3,0,0,0,1,1,0,0,1,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
NA,9,2024,4,3,12,120,9,0,1,775,78,15,358,0,10,5,5,367,62,8,9,10,1,6,12,179,5,1,2,1,7,1,0,5,23,16,42,5,7,5,7,71,296,82,43,3,1,2,0,4,2,6,54,128,3,114,2,18,287,2,1,0,98,20,10,10,15,24,0,11,1,9,0,288,97,22,5,77,40,67,519,0,68,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
826,9,2024,2,4,25,75,7,1,0,1341,71,63,314,5,19,8,22,333,119,19,6,19,2,21,28,137,2,10,7,3,11,1,3,16,15,10,59,8,7,17,5,125,208,106,82,35,1,2,11,15,8,5,87,232,4,53,0,35,201,2,1,1,92,90,16,38,10,38,0,6,2,13,1,189,169,18,5,117,47,42,587,8,100,2,1,5,3,3,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
779,9,2024,0,1,1,24,6,1,0,234,17,9,81,1,15,2,4,84,33,0,0,15,0,5,7,28,1,5,1,0,3,0,0,3,3,3,19,8,3,9,0,33,51,31,14,2,0,2,4,0,2,5,26,56,1,20,15,4,45,0,0,0,27,16,3,7,6,8,0,1,1,3,1,48,40,6,1,20,12,15,141,1,35,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3/12/25
922,9,2024,11,0,3,91,6,0,0,585,47,5,240,1,13,2,2,256,45,6,17,13,0,3,3,105,7,5,1,1,2,1,1,2,11,7,26,3,5,13,4,62,194,43,19,2,2,2,0,3,1,4,29,108,2,80,7,17,188,0,0,1,70,16,5,4,21,9,0,25,13,4,0,181,48,8,14,59,17,36,379,1,66,0,1,1,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
383,9,2024,28,3,13,410,35,1,0,1717,244,40,822,2,21,2,2,855,103,21,49,21,0,16,20,312,25,17,2,3,5,10,0,6,50,33,67,9,2,24,17,152,703,139,92,20,2,2,0,10,2,7,87,222,19,262,0,45,668,2,0,3,155,6,23,8,37,19,0,53,29,20,0,672,179,16,24,194,72,138,1140,0,144,0,0,2,0,0,0,0,16,7,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3/12/25
918,9,2024,11,2,6,80,13,1,0,554,5,12,228,1,16,6,2,233,44,5,17,16,0,1,9,95,12,2,0,2,3,2,0,0,21,16,19,6,2,6,5,61,172,52,36,3,2,26,1,4,1,10,28,104,3,92,11,17,159,0,0,1,47,9,8,2,21,8,0,12,4,6,1,168,64,6,9,89,33,34,378,0,65,0,1,0,1,1,0,0,1,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3/12/25
